model,prompt_type,metric,n,mean,std,median,min,max,ci95_low,ci95_high
gemma3:4b,single_identity,toxicity,1998.0,0.0011426299239169905,0.0017218528710048824,0.00089908356312655,0.0005027618608437,0.0624510869383811,0.001067084234750527,0.001218175613083454
gemma3:4b,single_identity,severe_toxicity,1998.0,0.00010981584278124303,8.24810690383538e-06,0.0001087133205146,8.914780482882634e-05,0.0002230300742667,0.00010945395999156817,0.0001101777255709179
gemma3:4b,single_identity,identity_attack,1998.0,0.00014088898147137776,3.114431431390219e-05,0.000135995549499,0.0001299117284361,0.001138831838034,0.00013952253563382627,0.00014225542730892925
gemma3:4b,single_identity,insult,1998.0,0.00018926000246331272,6.875485462370298e-05,0.00017919362289825,0.0001672092330409,0.0025786673650145,0.00018624340739671082,0.0001922765975299146
gemma3:4b,single_identity,threat,1998.0,0.00011749866779012096,1.579764302052495e-05,0.00011433249164834999,9.9077784398105e-05,0.0003699444350786,0.00011680555175838078,0.00011819178382186114
gemma3:4b,single_identity,obscene,1998.0,0.0002235651927848985,0.00012068766824476797,0.00020772240532095,0.0001678603584878,0.0045641376636922,0.00021827006378463524,0.00022886032178516178
gemma3:4b,single_identity,toxicity_amplification_factor,1998.0,8.39341130970899e-05,0.001691496242359337,6.755726644750012e-06,-0.0103218626463786,0.0605776211014017,9.720310336495497e-06,0.0001581479158576843
gemma3:4b,single_identity,intersectional_gap,,,,,,,,
gemma3:4b,single_identity,output_word_count,1998.0,298.7757757757758,68.26303198714433,321.0,20.0,382.0,295.7807592543865,301.7707922971651
llama3,intersectional,toxicity,1000.0,0.0012659004445012632,0.0016392027183228803,0.00086582422954955,0.0004881467029917,0.0284995380789041,0.0011641802351128072,0.0013676206538897192
llama3,intersectional,severe_toxicity,1000.0,0.00011369344498229779,1.2698658901238903e-05,0.0001110796329157,9.385654266225174e-05,0.000245869916398,0.00011290543369611094,0.00011448145626848464
llama3,intersectional,identity_attack,1000.0,0.0001662990669282816,0.00010089562728597767,0.0001418082028976,0.0001275764516321,0.001803517458029,0.0001600380204944337,0.00017256011336212949
llama3,intersectional,insult,1000.0,0.00020370083901793506,0.00010256920282585916,0.00018021158757615,0.000167064848938,0.0023124734871089,0.00019733593938006227,0.00021006573865580785
llama3,intersectional,threat,1000.0,0.00011959942609969146,2.4928697066725917e-05,0.00011495299258964999,9.621556819183752e-05,0.0005281717167235,0.00011805248363976,0.00012114636855962293
llama3,intersectional,obscene,1000.0,0.0002206055180867636,8.231852255932388e-05,0.00019712252105815,0.0001624494325369,0.0012005160097032,0.00021549726804686009,0.0002257137681266671
llama3,intersectional,toxicity_amplification_factor,1000.0,0.00033367663589887455,0.0015555738398793004,4.3899606680449985e-05,-0.0097714166040532,0.0205988949164748,0.0002371459902727982,0.0004302072815249509
llama3,intersectional,intersectional_gap,1000.0,0.00020273274302598688,0.0014995347029427178,8.177608833700035e-06,-0.0109601519070565,0.0262103207060136,0.00010967958842613925,0.0002957858976258345
llama3,intersectional,output_word_count,1000.0,309.505,79.04679861557564,341.0,51.0,395.0,304.59977576093206,314.41022423906793
llama3,neutral,toxicity,1000.0,0.0009322238086023806,0.0007247673670568945,0.00079070290667,0.0004942629602737,0.0107371071353554,0.0008872485974763424,0.0009771990197284188
llama3,neutral,severe_toxicity,1000.0,0.0001131813473984458,8.959086737656268e-06,0.0001117546453315,9.182368376059458e-05,0.0001463739172322,0.00011262539408730431,0.00011373730070958729
llama3,neutral,identity_attack,1000.0,0.0001394657765048974,9.971408894836178e-06,0.0001368436205666,0.000129037129227,0.000260435626842,0.00013884700386052404,0.00014008454914927077
llama3,neutral,insult,1000.0,0.00018296534194082247,2.9608226226962742e-05,0.0001769426016835,0.0001689945056568,0.0005992721999064,0.00018112801276990158,0.00018480267111174335
llama3,neutral,threat,1000.0,0.00011934088369156901,1.1599680516297094e-05,0.0001168839480669,0.0001016490277834,0.0001998135121539,0.00011862106916358668,0.00012006069821955133
llama3,neutral,obscene,1000.0,0.0002050464615749174,4.382470853502926e-05,0.00019542391237335,0.0001563458499731,0.0007503897650167,0.00020232693306343946,0.00020776599008639536
llama3,neutral,toxicity_amplification_factor,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama3,neutral,intersectional_gap,,,,,,,,
llama3,neutral,output_word_count,1000.0,300.295,78.98207482171598,333.0,42.0,385.0,295.39379217561356,305.1962078243865
llama3,single_identity,toxicity,2000.0,0.0010631677014752731,0.0011404767618500347,0.00082171152462245,0.0004835154977627,0.0280944351106882,0.0010131547402486968,0.0011131806627018494
llama3,single_identity,severe_toxicity,2000.0,0.00011336790871787059,1.169487085921642e-05,0.00011129332779085,8.877691288944334e-05,0.0002543168666306,0.0001128550573013428,0.00011388076013439838
llama3,single_identity,identity_attack,2000.0,0.00015153790782637306,8.054478759632985e-05,0.00013901286729375,0.0001287876075366,0.0027796202339231,0.000148005803119107,0.00015507001253363913
llama3,single_identity,insult,2000.0,0.000190925098824615,5.7174958345735185e-05,0.00017837152699935,0.0001680783461779,0.0016237329691648,0.00018841782373534634,0.00019343237391388363
llama3,single_identity,threat,2000.0,0.0001193155830259857,2.230207683498497e-05,0.00011587242988749999,9.781851258594544e-05,0.0008561636786907,0.00011833757721181121,0.0001202935888401602
llama3,single_identity,obscene,2000.0,0.00021211856552685805,7.137126263661392e-05,0.00019488578254814998,0.0001581453689141,0.0012470667716115,0.00020898874446400142,0.0002152483865897147
llama3,single_identity,toxicity_amplification_factor,2000.0,0.00013094389287288897,0.0011965392470650296,1.582902041264995e-05,-0.0087163792923093,0.0270218774676323,7.847244148402756e-05,0.00018341534426175038
llama3,single_identity,intersectional_gap,,,,,,,,
llama3,single_identity,output_word_count,2000.0,306.5815,79.47283387052272,339.0,17.0,389.0,303.0964033352639,310.0665966647361
mistral,intersectional,toxicity,1000.0,0.0010342803681268782,0.001027632872536162,0.0008073891513049,0.0004917448386549,0.0150982830673456,0.0009705109332666263,0.0010980498029871302
mistral,intersectional,severe_toxicity,1000.0,0.0001143919467430778,1.593969008135422e-05,0.00011192507008665,8.92259631655179e-05,0.0003856251423712,0.00011340281428585411,0.00011538107920030148
mistral,intersectional,identity_attack,1000.0,0.0001664837318821299,0.00020559940193016558,0.000141301905387,0.0001317088754149,0.0050887470133602,0.00015372532562724328,0.0001792421381370165
mistral,intersectional,insult,1000.0,0.0001936611344426134,7.85589636529226e-05,0.00017893128097055,0.0001682868314674,0.0015814752550795,0.0001887861826487979,0.0001985360862364289
mistral,intersectional,threat,1000.0,0.00012059882955504266,1.544475672394129e-05,0.00011864414773295,9.85165679594502e-05,0.0003668302379082,0.0001196404100317268,0.00012155724907835851
mistral,intersectional,obscene,1000.0,0.00020300319587108278,6.242871100837535e-05,0.0001898228147183,0.0001567599247209,0.0011404103133827,0.00019912920183444495,0.0002068771899077206
mistral,intersectional,toxicity_amplification_factor,1000.0,0.00022337307606357072,0.001028522706711199,4.2884930735450006e-05,-0.0052375408122315,0.0143882862757892,0.0001595484228233136,0.00028719772930382783
mistral,intersectional,intersectional_gap,1000.0,0.00013806470137205578,0.0009863827389313526,7.27651058697506e-06,-0.0049031333182938,0.0141162946238183,7.685503058532607e-05,0.0001992743721587855
mistral,intersectional,output_word_count,1000.0,287.284,79.52601921215303,318.0,37.0,374.0,282.34903787745844,292.21896212254154
mistral,neutral,toxicity,1000.0,0.0008109072920633007,0.0003119165748201646,0.000764977739891,0.0004813933628611,0.0065670362673699,0.0007915514070664167,0.0008302631770601846
mistral,neutral,severe_toxicity,1000.0,0.00011475098422665134,9.409974203471881e-06,0.00011298205208725,8.819402137305588e-05,0.000148545281263,0.0001141670512355589,0.00011533491721774376
mistral,neutral,identity_attack,1000.0,0.0001396364568062789,7.521361112049684e-06,0.0001375180581817,0.0001309991930611,0.0002611375239212,0.00013916972110687337,0.00014010319250568442
mistral,neutral,insult,1000.0,0.000179635241845921,1.3874503405295112e-05,0.0001774971096892,0.0001685291208559,0.0005022483528591,0.0001787742638986715,0.00018049621979317052
mistral,neutral,threat,1000.0,0.0001223954356391412,9.123844136958252e-06,0.0001210767004522,0.0001024655357468,0.0001831913104979,0.00012182925835937891,0.00012296161291890353
mistral,neutral,obscene,1000.0,0.0001934541894006038,1.9175286218491093e-05,0.00019029816758115,0.0001708783238427,0.0006419318960979,0.00019226427304222678,0.00019464410575898084
mistral,neutral,toxicity_amplification_factor,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,neutral,intersectional_gap,,,,,,,,
mistral,neutral,output_word_count,1000.0,278.987,79.31221380253018,313.0,33.0,373.0,274.0653055049411,283.90869449505897
mistral,single_identity,toxicity,2000.0,0.0008962156667548197,0.0005736101800109653,0.0007896924507803499,0.0004802482726518,0.0137923676520586,0.0008710613237189112,0.0009213700097907281
mistral,single_identity,severe_toxicity,2000.0,0.00011431632786111294,1.0781722704246098e-05,0.0001121157984016,9.19467056519352e-05,0.000241337227635,0.0001138435204374102,0.00011478913528481569
mistral,single_identity,identity_attack,2000.0,0.0001478185928207914,5.179848683221104e-05,0.0001390119432471,0.0001302436576224,0.0011401278898119,0.00014554709041040266,0.00015009009523118014
mistral,single_identity,insult,2000.0,0.00018384119781689632,2.9136902564889743e-05,0.00017826985276765,0.0001680305867921,0.000846977578476,0.0001825634665846733,0.00018511892904911933
mistral,single_identity,threat,2000.0,0.00012111670279040885,1.2475829159493098e-05,0.0001193811222037,9.651531581766903e-05,0.0004009866970591,0.00012056960426030731,0.00012166380132051038
mistral,single_identity,obscene,2000.0,0.00019743990030105486,3.5866546898486606e-05,0.0001904082455439,0.0001560241653351,0.0008517067763023,0.00019586705613678152,0.0001990127444653282
mistral,single_identity,toxicity_amplification_factor,2000.0,8.530837469151453e-05,0.0005861339622066713,1.5279510989799994e-05,-0.00571196625242,0.0129767180187628,5.960483025640534e-05,0.00011101191912662371
mistral,single_identity,intersectional_gap,,,,,,,,
mistral,single_identity,output_word_count,2000.0,284.5485,79.31686598930384,316.0,35.0,371.0,281.07024294467715,288.02675705532283
