series,batch,metric,n,mean,std,median,min,max,ci95_low,ci95_high
series_1,batch_4,toxicity,600,0.0011012702333391155,0.0014395694214068557,0.00084560806863005,0.0006237704656086,0.0280944351106882,0.0009858495903408697,0.0012166908763373613
series_1,batch_4,severe_toxicity,600,0.00011012204917880274,8.59000774677844e-06,0.0001100151093851,9.182368376059458e-05,0.0002543168666306,0.00010943332642410283,0.00011081077193350265
series_1,batch_4,identity_attack,600,0.00014748534961346417,0.00011286833205740237,0.00013617779768535,0.0001299786381423,0.0027796202339231,0.00013843588296983848,0.00015653481625708986
series_1,batch_4,insult,600,0.00019005264735212965,7.076289649359911e-05,0.00017884718545245,0.0001680783461779,0.0016237329691648,0.00018437907656613197,0.00019572621813812734
series_1,batch_4,threat,600,0.00011804530312166481,3.227127661641046e-05,0.0001156496800831,9.651531581766903e-05,0.0008561636786907,0.00011545788257629075,0.00012063272366703887
series_1,batch_4,obscene,600,0.00021205808079679918,6.306774103138668e-05,0.00019687777967185,0.0001761194871505,0.0007503897650167,0.00020700148601641297,0.0002171146755771854
series_1,batch_4,toxicity_amplification_factor,600,7.217922160634317e-05,0.0015452747097042824,0.0,-0.0082670933334157,0.0270218774676323,-5.171657525539641e-05,0.00019607501846808273
series_1,batch_4,intersectional_gap,150,5.572678695897868e-05,0.0012905915087180401,-3.025968908350015e-06,-0.0109601519070565,0.0067871680948882,-0.00015249827997622606,0.00026395185389418345
series_1,batch_4,output_word_count,600,318.81,39.40069277290661,329.0,108.0,365.0,315.65096284152736,321.96903715847264
series_1,batch_5,toxicity,600,0.001020895785283401,0.0008048144724300378,0.00083361525321375,0.000608445785474,0.0108729796484112,0.0009563680157150618,0.0010854235548517401
series_1,batch_5,severe_toxicity,600,0.00011032397635664317,7.054172760903487e-06,0.00011017568249369999,8.885465649655089e-05,0.0001833625574363,0.00010975839254819543,0.0001108895601650909
series_1,batch_5,identity_attack,600,0.0001444470347389865,4.08795775680094e-05,0.00013620695972345,0.000130875094328,0.0008588887285441,0.0001411694247410017,0.00014772464473697131
series_1,batch_5,insult,600,0.00018613483174698898,3.416994414544693e-05,0.00017819703498385,0.0001708043564576,0.0006434310344047,0.00018339518135859206,0.0001888744821353859
series_1,batch_5,threat,600,0.00011703058991159217,1.1124548193403043e-05,0.0001157444385171,0.0001000213596853,0.0002465302532073,0.00011613865480484842,0.00011792252501833592
series_1,batch_5,obscene,600,0.00020914769855148035,5.512926152738518e-05,0.00019704996520885,0.0001765635679475,0.000976977054961,0.00020472758881666064,0.00021356780828630007
series_1,batch_5,toxicity_amplification_factor,600,0.00012031983787892,0.0007664625657743077,0.0,-0.0011855210759677,0.010031025565695,5.886701673653942e-05,0.00018177265902130058
series_1,batch_5,intersectional_gap,150,5.8985842042604993e-05,0.0008846827213351644,-1.5801488188750242e-06,-0.0050032938015647,0.0059387195506134,-8.374957626912304e-05,0.00020172126035433304
series_1,batch_5,output_word_count,600,323.29833333333335,36.04920580661524,332.0,118.0,373.0,320.40800901003024,326.18865765663645
series_1,batch_6,toxicity,900,0.0010442568375340483,0.000940306781911577,0.00084764984785575,0.0006018643034622,0.0137923676520586,0.0009827417713594356,0.001105771903708661
series_1,batch_6,severe_toxicity,900,0.00011032918059042271,7.691246212147929e-06,0.0001099477813113,9.2030742962379e-05,0.000241337227635,0.0001098260176559348,0.00011083234352491062
series_1,batch_6,identity_attack,900,0.0001446768797661911,5.020030995093337e-05,0.00013617845252150002,0.0001299943833146,0.0011401278898119,0.00014139276499851932,0.00014796099453386288
series_1,batch_6,insult,900,0.0001871908441696381,4.7375020678519606e-05,0.0001781151586328,0.000167064848938,0.000846977578476,0.0001840915604165865,0.00019029012792268972
series_1,batch_6,threat,900,0.00011753300662444711,1.6458841634536556e-05,0.00011576861652425001,9.82895799097605e-05,0.0004009866970591,0.00011645626576520571,0.00011860974748368851
series_1,batch_6,obscene,900,0.00021080134381509043,5.1889992433078e-05,0.0001976895509869,0.0001729088835418,0.0008517067763023,0.00020740668966633293,0.00021419599796384793
series_1,batch_6,toxicity_amplification_factor,900,9.03073742908039e-05,0.0009200412164152366,0.0,-0.0060090721817687,0.0129767180187628,3.0118085645987283e-05,0.00015049666293562053
